statistic_yyymm,site_id,family_name,gender,people_total
統計年月,區域別,姓氏,性別,人口數
10506,新北市板橋區,陳,男,29600
10506,新北市板橋區,陳,女,30981
10506,新北市板橋區,林,男,24797
10506,新北市板橋區,林,女,25661
10506,新北市板橋區,黃,男,16435
10506,新北市板橋區,黃,女,17063
10506,新北市板橋區,張,男,14142
10506,新北市板橋區,張,女,14504
10506,新北市板橋區,李,男,13598
10506,新北市板橋區,李,女,14449
10506,新北市板橋區,王,男,12069
10506,新北市板橋區,王,女,12107
10506,新北市板橋區,吳,男,11736
10506,新北市板橋區,吳,女,12113
10506,新北市板橋區,劉,男,8037
10506,新北市板橋區,劉,女,8334
10506,新北市板橋區,蔡,男,8052
10506,新北市板橋區,蔡,女,8153
10506,新北市板橋區,楊,男,7104
10506,新北市板橋區,楊,女,7438
10506,新北市板橋區,許,男,6387
10506,新北市板橋區,許,女,6597
10506,新北市板橋區,鄭,男,5154
10506,新北市板橋區,鄭,女,5353
10506,新北市板橋區,謝,男,4334
10506,新北市板橋區,謝,女,4691
10506,新北市板橋區,洪,男,4414
10506,新北市板橋區,洪,女,4441
10506,新北市板橋區,廖,男,4286
10506,新北市板橋區,廖,女,4435
10506,新北市板橋區,郭,男,3863
10506,新北市板橋區,郭,女,3956
10506,新北市板橋區,邱,男,3760
10506,新北市板橋區,邱,女,4015
10506,新北市板橋區,賴,男,3642
10506,新北市板橋區,賴,女,3641
10506,新北市板橋區,周,男,3501
10506,新北市板橋區,周,女,3781
10506,新北市板橋區,徐,男,3497
10506,新北市板橋區,徐,女,3634
10506,新北市三重區,陳,男,24185
10506,新北市三重區,陳,女,24606
10506,新北市三重區,林,男,18401
10506,新北市三重區,林,女,18594
10506,新北市三重區,李,男,12251
10506,新北市三重區,李,女,12354
10506,新北市三重區,黃,男,11599
10506,新北市三重區,黃,女,11901
10506,新北市三重區,張,男,9936
10506,新北市三重區,張,女,10198
10506,新北市三重區,吳,男,8722
10506,新北市三重區,吳,女,9081
10506,新北市三重區,王,男,8057
10506,新北市三重區,王,女,8188
10506,新北市三重區,蔡,男,6898
10506,新北市三重區,蔡,女,6942
10506,新北市三重區,楊,男,5193
10506,新北市三重區,楊,女,5328
10506,新北市三重區,許,男,4988
10506,新北市三重區,許,女,5038
10506,新北市三重區,劉,男,4549
10506,新北市三重區,劉,女,4736
10506,新北市三重區,鄭,男,3928
10506,新北市三重區,鄭,女,3928
10506,新北市三重區,葉,男,3114
10506,新北市三重區,葉,女,2999
10506,新北市三重區,郭,男,2970
10506,新北市三重區,郭,女,3064
10506,新北市三重區,謝,男,2898
10506,新北市三重區,謝,女,2993
10506,新北市三重區,周,男,2852
10506,新北市三重區,周,女,2774
10506,新北市三重區,洪,男,2776
10506,新北市三重區,洪,女,2780
10506,新北市三重區,廖,男,2564
10506,新北市三重區,廖,女,2573
10506,新北市三重區,曾,男,2275
10506,新北市三重區,曾,女,2325
10506,新北市三重區,蘇,男,2230
10506,新北市三重區,蘇,女,2173
10506,新北市中和區,陳,男,20999
10506,新北市中和區,陳,女,22368
10506,新北市中和區,林,男,17138
10506,新北市中和區,林,女,18042
10506,新北市中和區,張,男,10761
10506,新北市中和區,張,女,10999
10506,新北市中和區,黃,男,10659
10506,新北市中和區,黃,女,11084
10506,新北市中和區,李,男,10431
10506,新北市中和區,李,女,11016
10506,新北市中和區,王,男,8553
10506,新北市中和區,王,女,8879
10506,新北市中和區,吳,男,7410
10506,新北市中和區,吳,女,7953
10506,新北市中和區,劉,男,6554
10506,新北市中和區,劉,女,6754
10506,新北市中和區,楊,男,5114
10506,新北市中和區,楊,女,5244
10506,新北市中和區,蔡,男,5087
10506,新北市中和區,蔡,女,5087
10506,新北市中和區,許,男,4224
10506,新北市中和區,許,女,4503
10506,新北市中和區,鄭,男,3588
10506,新北市中和區,鄭,女,3769
10506,新北市中和區,謝,男,3107
10506,新北市中和區,謝,女,3153
10506,新北市中和區,周,男,3123
10506,新北市中和區,周,女,3105
10506,新北市中和區,呂,男,2888
10506,新北市中和區,呂,女,2864
10506,新北市中和區,廖,男,2722
10506,新北市中和區,廖,女,2879
10506,新北市中和區,徐,男,2629
10506,新北市中和區,徐,女,2963
10506,新北市中和區,邱,男,2624
10506,新北市中和區,邱,女,2733
10506,新北市中和區,曾,男,2517
10506,新北市中和區,曾,女,2717
10506,新北市中和區,洪,男,2477
10506,新北市中和區,洪,女,2662
10506,新北市永和區,陳,男,11558
10506,新北市永和區,陳,女,12568
10506,新北市永和區,林,男,8458
10506,新北市永和區,林,女,9401
10506,新北市永和區,張,男,5877
10506,新北市永和區,張,女,6544
10506,新北市永和區,黃,男,5536
10506,新北市永和區,黃,女,6178
10506,新北市永和區,李,男,5533
10506,新北市永和區,李,女,6040
10506,新北市永和區,王,男,4825
10506,新北市永和區,王,女,5323
10506,新北市永和區,吳,男,3748
10506,新北市永和區,吳,女,4142
10506,新北市永和區,劉,男,3664
10506,新北市永和區,劉,女,3927
10506,新北市永和區,楊,男,2379
10506,新北市永和區,楊,女,2939
10506,新北市永和區,蔡,男,2480
10506,新北市永和區,蔡,女,2799
10506,新北市永和區,許,男,2463
10506,新北市永和區,許,女,2640
10506,新北市永和區,鄭,男,1953
10506,新北市永和區,鄭,女,2146
10506,新北市永和區,周,男,1751
10506,新北市永和區,周,女,1920
10506,新北市永和區,謝,男,1506
10506,新北市永和區,謝,女,1782
10506,新北市永和區,郭,男,1616
10506,新北市永和區,郭,女,1665
10506,新北市永和區,洪,男,1494
10506,新北市永和區,洪,女,1573
10506,新北市永和區,徐,男,1450
10506,新北市永和區,徐,女,1542
10506,新北市永和區,曾,男,1238
10506,新北市永和區,曾,女,1458
10506,新北市永和區,廖,男,1293
10506,新北市永和區,廖,女,1387
10506,新北市永和區,葉,男,1194
10506,新北市永和區,葉,女,1378
10506,新北市新莊區,陳,男,24134
10506,新北市新莊區,陳,女,24839
10506,新北市新莊區,林,男,17937
10506,新北市新莊區,林,女,18431
10506,新北市新莊區,黃,男,12862
10506,新北市新莊區,黃,女,13188
10506,新北市新莊區,李,男,11147
10506,新北市新莊區,李,女,11770
10506,新北市新莊區,張,男,10512
10506,新北市新莊區,張,女,11167
10506,新北市新莊區,吳,男,9829
10506,新北市新莊區,吳,女,9994
10506,新北市新莊區,王,男,8303
10506,新北市新莊區,王,女,8636
10506,新北市新莊區,蔡,男,6544
10506,新北市新莊區,蔡,女,6596
10506,新北市新莊區,劉,男,5667
10506,新北市新莊區,劉,女,5799
10506,新北市新莊區,楊,男,5026
10506,新北市新莊區,楊,女,5328
10506,新北市新莊區,許,男,5028
10506,新北市新莊區,許,女,5243
10506,新北市新莊區,鄭,男,3803
10506,新北市新莊區,鄭,女,4031
10506,新北市新莊區,謝,男,3344
10506,新北市新莊區,謝,女,3356
10506,新北市新莊區,廖,男,3102
10506,新北市新莊區,廖,女,3217
10506,新北市新莊區,洪,男,2898
10506,新北市新莊區,洪,女,3000
10506,新北市新莊區,葉,男,2830
10506,新北市新莊區,葉,女,2887
10506,新北市新莊區,邱,男,2766
10506,新北市新莊區,邱,女,2928
10506,新北市新莊區,徐,男,2660
10506,新北市新莊區,徐,女,2713
10506,新北市新莊區,郭,男,2628
10506,新北市新莊區,郭,女,2743
10506,新北市新莊區,曾,男,2588
10506,新北市新莊區,曾,女,2646
10506,新北市新店區,陳,男,14238
10506,新北市新店區,陳,女,15445
10506,新北市新店區,林,男,11980
10506,新北市新店區,林,女,12399
10506,新北市新店區,張,男,8626
10506,新北市新店區,張,女,9033
10506,新北市新店區,李,男,7209
10506,新北市新店區,李,女,7831
10506,新北市新店區,黃,男,6840
10506,新北市新店區,黃,女,7643
10506,新北市新店區,王,男,7063
10506,新北市新店區,王,女,7244
10506,新北市新店區,劉,男,5862
10506,新北市新店區,劉,女,6003
10506,新北市新店區,吳,男,4958
10506,新北市新店區,吳,女,5277
10506,新北市新店區,楊,男,3258
10506,新北市新店區,楊,女,3746
10506,新北市新店區,高,男,3381
10506,新北市新店區,高,女,3298
10506,新北市新店區,周,男,3081
10506,新北市新店區,周,女,3129
10506,新北市新店區,蔡,男,2857
10506,新北市新店區,蔡,女,3280
10506,新北市新店區,廖,男,2835
10506,新北市新店區,廖,女,2867
10506,新北市新店區,鄭,男,2658
10506,新北市新店區,鄭,女,2929
10506,新北市新店區,許,男,2531
10506,新北市新店區,許,女,2868
10506,新北市新店區,謝,男,1950
10506,新北市新店區,謝,女,2220
10506,新北市新店區,徐,男,1845
10506,新北市新店區,徐,女,1964
10506,新北市新店區,郭,男,1747
10506,新北市新店區,郭,女,1805
10506,新北市新店區,曾,男,1577
10506,新北市新店區,曾,女,1773
10506,新北市新店區,邱,男,1492
10506,新北市新店區,邱,女,1705
10506,新北市樹林區,陳,男,10986
10506,新北市樹林區,陳,女,10721
10506,新北市樹林區,林,男,7981
10506,新北市樹林區,林,女,7822
10506,新北市樹林區,黃,男,4930
10506,新北市樹林區,黃,女,5230
10506,新北市樹林區,張,男,4851
10506,新北市樹林區,張,女,4779
10506,新北市樹林區,李,男,4649
10506,新北市樹林區,李,女,4726
10506,新北市樹林區,王,男,4449
10506,新北市樹林區,王,女,4282
10506,新北市樹林區,吳,男,3601
10506,新北市樹林區,吳,女,3575
10506,新北市樹林區,劉,男,2800
10506,新北市樹林區,劉,女,2883
10506,新北市樹林區,蔡,男,2209
10506,新北市樹林區,蔡,女,2227
10506,新北市樹林區,楊,男,2156
10506,新北市樹林區,楊,女,2199
10506,新北市樹林區,許,男,1903
10506,新北市樹林區,許,女,1962
10506,新北市樹林區,鄭,男,1948
10506,新北市樹林區,鄭,女,1876
10506,新北市樹林區,賴,男,1763
10506,新北市樹林區,賴,女,1638
10506,新北市樹林區,簡,男,1721
10506,新北市樹林區,簡,女,1608
10506,新北市樹林區,謝,男,1533
10506,新北市樹林區,謝,女,1604
10506,新北市樹林區,廖,男,1509
10506,新北市樹林區,廖,女,1536
10506,新北市樹林區,周,男,1485
10506,新北市樹林區,周,女,1438
10506,新北市樹林區,邱,男,1360
10506,新北市樹林區,邱,女,1336
10506,新北市樹林區,曾,男,1210
10506,新北市樹林區,曾,女,1184
10506,新北市樹林區,洪,男,1149
10506,新北市樹林區,洪,女,1162
10506,新北市鶯歌區,陳,男,5285
10506,新北市鶯歌區,陳,女,5105
10506,新北市鶯歌區,林,男,4030
10506,新北市鶯歌區,林,女,3750
10506,新北市鶯歌區,黃,男,2504
10506,新北市鶯歌區,黃,女,2549
10506,新北市鶯歌區,王,男,2486
10506,新北市鶯歌區,王,女,2300
10506,新北市鶯歌區,李,男,2143
10506,新北市鶯歌區,李,女,2155
10506,新北市鶯歌區,張,男,1937
10506,新北市鶯歌區,張,女,2057
10506,新北市鶯歌區,吳,男,1459
10506,新北市鶯歌區,吳,女,1491
10506,新北市鶯歌區,許,男,1376
10506,新北市鶯歌區,許,女,1352
10506,新北市鶯歌區,鄭,男,1338
10506,新北市鶯歌區,鄭,女,1220
10506,新北市鶯歌區,劉,男,1172
10506,新北市鶯歌區,劉,女,1234
10506,新北市鶯歌區,楊,男,957
10506,新北市鶯歌區,楊,女,910
10506,新北市鶯歌區,曾,男,935
10506,新北市鶯歌區,曾,女,909
10506,新北市鶯歌區,廖,男,875
10506,新北市鶯歌區,廖,女,799
10506,新北市鶯歌區,邱,男,845
10506,新北市鶯歌區,邱,女,798
10506,新北市鶯歌區,蔡,男,795
10506,新北市鶯歌區,蔡,女,795
10506,新北市鶯歌區,謝,男,685
10506,新北市鶯歌區,謝,女,675
10506,新北市鶯歌區,呂,男,624
10506,新北市鶯歌區,呂,女,668
10506,新北市鶯歌區,詹,男,649
10506,新北市鶯歌區,詹,女,589
10506,新北市鶯歌區,蘇,男,617
10506,新北市鶯歌區,蘇,女,617
10506,新北市鶯歌區,簡,男,554
10506,新北市鶯歌區,簡,女,528
10506,新北市三峽區,陳,男,8315
10506,新北市三峽區,陳,女,7775
10506,新北市三峽區,林,男,5092
10506,新北市三峽區,林,女,5071
10506,新北市三峽區,黃,男,3191
10506,新北市三峽區,黃,女,3172
10506,新北市三峽區,李,男,3127
10506,新北市三峽區,李,女,3015
10506,新北市三峽區,王,男,2765
10506,新北市三峽區,王,女,2700
10506,新北市三峽區,張,男,2753
10506,新北市三峽區,張,女,2709
10506,新北市三峽區,劉,男,2651
10506,新北市三峽區,劉,女,2436
10506,新北市三峽區,吳,男,1698
10506,新北市三峽區,吳,女,1772
10506,新北市三峽區,周,男,1373
10506,新北市三峽區,周,女,1226
10506,新北市三峽區,蘇,男,1362
10506,新北市三峽區,蘇,女,1125
10506,新北市三峽區,鄭,男,1216
10506,新北市三峽區,鄭,女,1263
10506,新北市三峽區,楊,男,1129
10506,新北市三峽區,楊,女,1173
10506,新北市三峽區,蔡,男,982
10506,新北市三峽區,蔡,女,1118
10506,新北市三峽區,許,男,1015
10506,新北市三峽區,許,女,1055
10506,新北市三峽區,邱,男,824
10506,新北市三峽區,邱,女,875
10506,新北市三峽區,曾,男,835
10506,新北市三峽區,曾,女,801
10506,新北市三峽區,廖,男,756
10506,新北市三峽區,廖,女,773
10506,新北市三峽區,呂,男,813
10506,新北市三峽區,呂,女,691
10506,新北市三峽區,謝,男,664
10506,新北市三峽區,謝,女,760
10506,新北市三峽區,葉,男,582
10506,新北市三峽區,葉,女,558
10506,新北市淡水區,陳,男,8747
10506,新北市淡水區,陳,女,9499
10506,新北市淡水區,林,男,5945
10506,新北市淡水區,林,女,6488
10506,新北市淡水區,張,男,5686
10506,新北市淡水區,張,女,5777
10506,新北市淡水區,李,男,5063
10506,新北市淡水區,李,女,5270
10506,新北市淡水區,黃,男,3860
10506,新北市淡水區,黃,女,4234
10506,新北市淡水區,王,男,3603
10506,新北市淡水區,王,女,3654
10506,新北市淡水區,吳,男,2863
10506,新北市淡水區,吳,女,3069
10506,新北市淡水區,蔡,男,2013
10506,新北市淡水區,蔡,女,2105
10506,新北市淡水區,楊,男,1917
10506,新北市淡水區,楊,女,2118
10506,新北市淡水區,許,男,1851
10506,新北市淡水區,許,女,1968
10506,新北市淡水區,鄭,男,1806
10506,新北市淡水區,鄭,女,1891
10506,新北市淡水區,劉,男,1601
10506,新北市淡水區,劉,女,1887
10506,新北市淡水區,盧,男,1806
10506,新北市淡水區,盧,女,1553
10506,新北市淡水區,謝,男,1436
10506,新北市淡水區,謝,女,1634
10506,新北市淡水區,郭,男,1436
10506,新北市淡水區,郭,女,1511
10506,新北市淡水區,周,男,1359
10506,新北市淡水區,周,女,1444
10506,新北市淡水區,高,男,1414
10506,新北市淡水區,高,女,1347
10506,新北市淡水區,葉,男,1177
10506,新北市淡水區,葉,女,1170
10506,新北市淡水區,洪,男,1085
10506,新北市淡水區,洪,女,1170
10506,新北市淡水區,曾,男,957
10506,新北市淡水區,曾,女,1030
10506,新北市汐止區,陳,男,10903
10506,新北市汐止區,陳,女,11275
10506,新北市汐止區,林,男,7926
10506,新北市汐止區,林,女,8377
10506,新北市汐止區,黃,男,5970
10506,新北市汐止區,黃,女,5826
10506,新北市汐止區,李,男,5289
10506,新北市汐止區,李,女,5494
10506,新北市汐止區,張,男,4434
10506,新北市汐止區,張,女,4684
10506,新北市汐止區,王,男,4302
10506,新北市汐止區,王,女,4551
10506,新北市汐止區,吳,男,3366
10506,新北市汐止區,吳,女,3664
10506,新北市汐止區,楊,男,2513
10506,新北市汐止區,楊,女,2660
10506,新北市汐止區,劉,男,2452
10506,新北市汐止區,劉,女,2714
10506,新北市汐止區,蔡,男,2328
10506,新北市汐止區,蔡,女,2371
10506,新北市汐止區,周,男,2129
10506,新北市汐止區,周,女,2101
10506,新北市汐止區,鄭,男,2063
10506,新北市汐止區,鄭,女,2096
10506,新北市汐止區,蘇,男,2052
10506,新北市汐止區,蘇,女,1908
10506,新北市汐止區,廖,男,1962
10506,新北市汐止區,廖,女,1813
10506,新北市汐止區,許,男,1782
10506,新北市汐止區,許,女,1928
10506,新北市汐止區,謝,男,1606
10506,新北市汐止區,謝,女,1672
10506,新北市汐止區,郭,男,1441
10506,新北市汐止區,郭,女,1455
10506,新北市汐止區,高,男,1282
10506,新北市汐止區,高,女,1243
10506,新北市汐止區,曾,男,1149
10506,新北市汐止區,曾,女,1161
10506,新北市汐止區,徐,男,1122
10506,新北市汐止區,徐,女,1183
10506,新北市瑞芳區,陳,男,2003
10506,新北市瑞芳區,陳,女,2004
10506,新北市瑞芳區,林,男,1956
10506,新北市瑞芳區,林,女,1828
10506,新北市瑞芳區,黃,男,1204
10506,新北市瑞芳區,黃,女,1081
10506,新北市瑞芳區,吳,男,964
10506,新北市瑞芳區,吳,女,944
10506,新北市瑞芳區,王,男,902
10506,新北市瑞芳區,王,女,842
10506,新北市瑞芳區,張,男,885
10506,新北市瑞芳區,張,女,850
10506,新北市瑞芳區,李,男,854
10506,新北市瑞芳區,李,女,839
10506,新北市瑞芳區,簡,男,673
10506,新北市瑞芳區,簡,女,569
10506,新北市瑞芳區,楊,男,559
10506,新北市瑞芳區,楊,女,571
10506,新北市瑞芳區,許,男,490
10506,新北市瑞芳區,許,女,460
10506,新北市瑞芳區,劉,男,440
10506,新北市瑞芳區,劉,女,444
10506,新北市瑞芳區,周,男,467
10506,新北市瑞芳區,周,女,412
10506,新北市瑞芳區,廖,男,443
10506,新北市瑞芳區,廖,女,430
10506,新北市瑞芳區,賴,男,404
10506,新北市瑞芳區,賴,女,387
10506,新北市瑞芳區,謝,男,387
10506,新北市瑞芳區,謝,女,362
10506,新北市瑞芳區,蘇,男,373
10506,新北市瑞芳區,蘇,女,371
10506,新北市瑞芳區,蔡,男,349
10506,新北市瑞芳區,蔡,女,393
10506,新北市瑞芳區,鄭,男,334
10506,新北市瑞芳區,鄭,女,353
10506,新北市瑞芳區,游,男,315
10506,新北市瑞芳區,游,女,291
10506,新北市瑞芳區,郭,男,283
10506,新北市瑞芳區,郭,女,294
10506,新北市土城區,陳,男,12949
10506,新北市土城區,陳,女,13233
10506,新北市土城區,林,男,10435
10506,新北市土城區,林,女,10648
10506,新北市土城區,黃,男,6977
10506,新北市土城區,黃,女,6905
10506,新北市土城區,張,男,6280
10506,新北市土城區,張,女,6362
10506,新北市土城區,李,男,5889
10506,新北市土城區,李,女,6131
10506,新北市土城區,吳,男,4842
10506,新北市土城區,吳,女,4985
10506,新北市土城區,王,男,4820
10506,新北市土城區,王,女,4976
10506,新北市土城區,劉,男,3900
10506,新北市土城區,劉,女,3890
10506,新北市土城區,蔡,男,2947
10506,新北市土城區,蔡,女,3142
10506,新北市土城區,楊,男,2767
10506,新北市土城區,楊,女,2864
10506,新北市土城區,許,男,2508
10506,新北市土城區,許,女,2534
10506,新北市土城區,鄭,男,2273
10506,新北市土城區,鄭,女,2242
10506,新北市土城區,廖,男,2266
10506,新北市土城區,廖,女,2188
10506,新北市土城區,謝,男,1872
10506,新北市土城區,謝,女,1885
10506,新北市土城區,邱,男,1724
10506,新北市土城區,邱,女,1752
10506,新北市土城區,洪,男,1731
10506,新北市土城區,洪,女,1706
10506,新北市土城區,呂,男,1677
10506,新北市土城區,呂,女,1611
10506,新北市土城區,江,男,1637
10506,新北市土城區,江,女,1469
10506,新北市土城區,周,男,1542
10506,新北市土城區,周,女,1564
10506,新北市土城區,曾,男,1500
10506,新北市土城區,曾,女,1524
10506,新北市蘆洲區,陳,男,12723
10506,新北市蘆洲區,陳,女,13029
10506,新北市蘆洲區,李,男,10236
10506,新北市蘆洲區,李,女,9619
10506,新北市蘆洲區,林,男,8894
10506,新北市蘆洲區,林,女,9125
10506,新北市蘆洲區,張,男,5514
10506,新北市蘆洲區,張,女,5539
10506,新北市蘆洲區,黃,男,5284
10506,新北市蘆洲區,黃,女,5617
10506,新北市蘆洲區,吳,男,4520
10506,新北市蘆洲區,吳,女,4667
10506,新北市蘆洲區,王,男,3739
10506,新北市蘆洲區,王,女,3947
10506,新北市蘆洲區,蔡,男,3403
10506,新北市蘆洲區,蔡,女,3412
10506,新北市蘆洲區,楊,男,2703
10506,新北市蘆洲區,楊,女,2886
10506,新北市蘆洲區,許,男,2381
10506,新北市蘆洲區,許,女,2556
10506,新北市蘆洲區,劉,男,2203
10506,新北市蘆洲區,劉,女,2307
10506,新北市蘆洲區,鄭,男,2039
